GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01470,1112.094871,4.430948246,0.158192478,28.00985415,1.23E-172,2.33E-168
AT2G15970,1727.773752,3.986826601,0.161710486,24.65410062,3.33E-134,3.14E-130
AT5G15960,2209.761063,6.755842613,0.282700682,23.89751087,3.25E-126,2.05E-122
AT2G42540,3293.986126,9.845051542,0.412895304,23.84394166,1.17E-125,5.53E-122
AT5G15970,2041.923444,4.938255728,0.210710502,23.43621076,1.83E-121,6.91E-118
AT5G52310,1265.106378,7.723044055,0.344111886,22.44340977,1.48E-111,4.67E-108
AT1G13930,1611.317637,3.298602887,0.148827151,22.16398595,7.65E-109,2.06E-105
AT5G66400,1554.915304,8.749711544,0.412916221,21.19004074,1.18E-99,2.79E-96
AT5G25610,832.2872698,4.015572533,0.194322602,20.66446458,7.24E-95,1.52E-91
AT3G50970,1143.31144,5.089312795,0.268710635,18.93975206,5.36E-80,1.01E-76
AT1G62570,326.5161418,5.408284953,0.28657339,18.87225106,1.93E-79,3.31E-76
AT5G24770,827.3108034,6.336565139,0.339733607,18.65156993,1.23E-77,1.93E-74
AT2G39800,711.5711223,5.241560025,0.281627846,18.61165402,2.59E-77,3.76E-74
AT1G52690,853.0944714,8.675985443,0.488287627,17.76818613,1.25E-70,1.68E-67
AT2G33380,783.6942922,7.769996802,0.442310081,17.5668544,4.42E-69,5.57E-66
AT5G61820,244.6329074,3.271376173,0.186463499,17.54432468,6.57E-69,7.76E-66
AT4G27520,745.9523886,2.778976845,0.159249309,17.45047975,3.41E-68,3.79E-65
AT4G23600,349.2549033,5.874210077,0.339935722,17.28035535,6.61E-67,6.94E-64
AT3G11410,213.439268,4.120875992,0.250789529,16.43161101,1.14E-60,1.07E-57
AT1G29395,366.7652533,6.196843136,0.384646631,16.11048331,2.15E-58,1.94E-55
AT1G35720,580.7390518,2.01730989,0.125312893,16.09818303,2.63E-58,2.26E-55
AT2G42530,1684.03835,10.67893708,0.680717477,15.68776687,1.83E-55,1.51E-52
AT5G59320,515.2168857,7.256939078,0.464486489,15.6235741,5.03E-55,3.96E-52
AT1G16850,292.7058523,6.881904475,0.442822961,15.54098382,1.83E-54,1.38E-51
AT4G16190,527.9674244,2.41732993,0.155807782,15.51482153,2.75E-54,2.00E-51
AT4G24960,201.0438415,3.720442037,0.240013111,15.50099504,3.42E-54,2.39E-51
AT4G30650,514.6579298,5.493498235,0.362838395,15.1403443,8.78E-52,5.72E-49
AT1G73390,166.0414492,4.149382828,0.276664911,14.99786441,7.58E-51,4.78E-48
AT4G26080,200.2322931,3.80312751,0.253886169,14.97965614,9.97E-51,6.08E-48
AT4G11600,278.4568613,2.40904421,0.161825306,14.8866965,4.02E-50,2.30E-47
AT1G20450,1591.422449,4.119810831,0.282165442,14.60069243,2.78E-48,1.50E-45
AT1G06460,202.7714617,2.804600115,0.192299072,14.58457439,3.52E-48,1.85E-45
AT2G17840,174.3483145,3.118814508,0.215659179,14.46177489,2.11E-47,1.08E-44
AT3G02480,973.6465379,9.488973663,0.661056216,14.35426132,1.00E-46,4.98E-44
AT1G10760,206.5613005,4.63133659,0.328711099,14.08938307,4.41E-45,2.09E-42
AT5G17460,166.3031486,5.725176612,0.408483198,14.01569671,1.25E-44,5.76E-42
AT2G41190,240.1645354,6.788240891,0.485036513,13.99531934,1.66E-44,7.49E-42
AT3G49120,472.2680939,2.490917344,0.178179133,13.97984882,2.07E-44,9.09E-42
AT5G24780,257.238261,5.344557013,0.386089155,13.84280534,1.41E-43,6.04E-41
AT1G58270,401.0447637,3.092313068,0.223495314,13.83614276,1.54E-43,6.48E-41
AT1G54100,293.3925218,3.410011542,0.247703207,13.76652156,4.05E-43,1.66E-40
AT2G25625,146.7674435,3.810443748,0.277041935,13.75403241,4.82E-43,1.90E-40
AT5G06760,684.8917931,9.063730377,0.659164383,13.75033392,5.07E-43,1.95E-40
AT2G21620,171.9679313,2.486561292,0.183469943,13.55296266,7.61E-42,2.82E-39
AT1G20440,2119.45836,3.498283941,0.258432081,13.53656997,9.51E-42,3.46E-39
AT3G62550,266.9050375,3.028435868,0.225081805,13.45482309,2.88E-41,1.03E-38
AT3G26740,1619.50889,2.637680827,0.197707253,13.34134576,1.33E-40,4.57E-38
AT3G57010,127.6414236,4.491458708,0.337199235,13.31989591,1.77E-40,5.88E-38
AT3G46970,155.4682915,4.003547331,0.305975557,13.0845332,4.04E-39,1.23E-36
AT5G03210,310.5886483,7.54098979,0.577475242,13.05855082,5.68E-39,1.70E-36
