Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0009414~response to water deprivation,107,3.503601834,8.45E-29,"AT1G20450, AT3G23920, AT1G52400, AT5G15960, AT3G52450, AT4G02280, AT1G52890, AT1G45249, AT4G02200, AT5G26340, AT3G16857, AT4G25480, AT1G43160, AT5G45340, AT3G50500, AT3G50970, AT3G18490, AT3G29320, AT4G24275, AT3G11020, AT2G38530, AT5G15970, AT4G39090, AT5G40390, AT2G33590, AT3G30775, AT4G25490, AT3G19290, AT3G26830, AT5G20830, AT2G17840, AT3G45140, AT3G61890, AT3G47860, AT5G47120, AT3G11410, AT5G37500, AT2G36270, AT2G39800, AT4G38410, AT1G20440, AT5G66400, AT3G63060, AT5G50720, AT1G74520, AT1G47128, AT1G73330, AT5G59310, AT2G46680, AT5G65730, AT4G20260, AT5G59320, AT5G59220, AT4G04330, AT3G05640, AT4G00430, AT5G13750, AT2G37770, AT5G62470, AT5G52310, AT1G33240, AT2G38750, AT4G11890, AT3G23050, AT4G02380, AT3G09940, AT2G47190, AT2G35930, AT5G13330, AT2G47800, AT3G51920, AT1G08920, AT2G37760, AT5G57050, AT2G35300, AT1G13740, AT2G38760, AT3G12490, AT5G05410, AT1G35720, AT1G46768, AT2G47180, AT1G08930, AT1G56600, AT2G21660, AT5G61590, AT4G27410, AT2G38470, AT5G24030, AT4G24960, AT3G02480, AT5G58670, AT3G46970, AT2G18050, AT4G34000, AT1G02205, AT1G02930, AT3G54770, AT1G22190, AT2G42540, AT5G06760, AT4G23450, AT5G52300, AT3G14440, AT1G12110, AT1G54160, AT2G41010",2256,279,18499,3.144768868,1.22E-25,6.12E-26,1.40E-25
GOTERM_BP_DIRECT,GO:0009737~response to abscisic acid,140,4.584151932,2.16E-33,"AT1G20450, AT1G52400, AT5G15960, AT3G09600, AT2G46270, AT1G45249, AT5G26340, AT1G18100, AT4G39260, AT1G43160, AT4G05100, AT3G18490, AT3G50500, AT3G50970, AT2G33380, AT3G57530, AT5G15970, AT3G02880, AT5G40390, AT2G33590, AT3G19290, AT5G37260, AT3G47600, AT3G30210, AT4G19810, AT3G22060, AT1G58340, AT5G44610, AT2G15970, AT3G26830, AT5G37770, AT4G23600, AT2G19450, AT5G62490, AT1G51500, AT2G17840, AT3G11820, AT2G26110, AT3G51810, AT1G17840, AT1G65690, AT3G61890, AT1G71030, AT4G26080, AT3G11410, AT3G47860, AT1G20630, AT3G17510, AT5G37500, AT4G31910, AT2G36270, AT2G39800, AT4G38410, AT1G73980, AT1G20440, AT1G74660, AT5G66400, AT3G63060, AT1G18570, AT4G01060, AT1G01060, AT5G50720, AT1G74520, AT1G73330, AT5G59310, AT2G46680, AT2G40170, AT3G05880, AT2G35940, AT4G21440, AT4G28110, AT5G59320, AT5G59220, AT1G47510, AT4G35100, AT5G63320, AT3G58490, AT5G64750, AT5G52310, AT5G62470, AT2G38750, AT4G11890, AT3G59220, AT4G02380, AT1G12420, AT2G26980, AT1G48000, AT3G48360, AT1G54100, AT2G47190, AT4G34390, AT5G13330, AT1G75750, AT3G51920, AT1G29395, AT1G55020, AT1G08920, AT5G16600, AT5G57050, AT4G22200, AT1G13740, AT1G22640, AT1G49720, AT1G35720, AT1G68670, AT5G52660, AT5G60660, AT2G47180, AT1G08930, AT5G02840, AT1G56600, AT2G42530, AT1G76180, AT4G34990, AT1G75240, AT3G22231, AT4G21410, AT4G04020, AT4G27410, AT2G47770, AT4G24960, AT5G58670, AT2G25930, AT2G46830, AT3G55610, AT2G01570, AT2G38940, AT4G18010, AT4G34000, AT5G02240, AT4G34710, AT3G54770, AT2G42540, AT4G23450, AT5G53160, AT4G12480, AT4G37260, AT5G52300, AT5G25610, AT2G40340",2256,394,18499,2.913674083,3.13E-30,3.13E-30,3.57E-30
GOTERM_BP_DIRECT,GO:0009611~response to wounding,78,2.554027505,7.41E-22,"AT5G47240, AT2G28900, AT5G47910, AT1G72300, AT1G18150, AT1G72920, AT3G19710, AT4G35770, AT4G39980, AT5G13220, AT2G34600, AT5G52310, AT1G43160, AT1G76650, AT4G37760, AT3G23050, AT5G67480, AT4G10270, AT4G02380, AT4G16740, AT3G48360, AT3G44550, AT1G80840, AT5G53750, AT5G54170, AT2G47800, AT1G55020, AT4G15440, AT3G16470, AT3G29035, AT5G24770, AT1G52030, AT5G12140, AT1G22640, AT5G13930, AT2G24850, AT1G01470, AT2G02990, AT1G32920, AT4G11280, AT4G23600, AT2G20340, AT4G24220, AT3G45140, AT1G17840, AT4G02260, AT1G61120, AT3G45640, AT1G04220, AT1G01720, AT2G37040, AT5G04230, AT3G24550, AT3G22275, AT5G20900, AT1G72520, AT3G51450, AT4G32940, AT5G10300, AT4G16760, AT1G07640, AT3G44260, AT3G15356, AT2G34810, AT5G08790, AT1G19640, AT4G34710, AT2G46370, AT2G27690, AT1G65060, AT1G72450, AT2G30020, AT5G42650, AT4G10265, AT4G21440, AT1G30135, AT1G76680, AT4G22880",2256,199,18499,3.214035604,1.07E-18,2.69E-19,1.23E-18
GOTERM_BP_DIRECT,GO:0009753~response to jasmonic acid,70,2.292075966,1.17E-23,"AT1G15520, AT1G54040, AT2G28900, AT1G47510, AT3G09600, AT1G18150, AT4G35770, AT2G39730, AT5G13220, AT5G24780, AT2G34600, AT1G43160, AT5G60890, AT4G37760, AT3G23050, AT4G05100, AT5G67480, AT4G16740, AT3G09940, AT3G48360, AT2G37630, AT5G07010, AT5G13330, AT1G55020, AT1G19570, AT3G28910, AT3G16470, AT5G24770, AT1G56650, AT4G09460, AT1G06180, AT5G37260, AT3G47600, AT4G19810, AT5G13930, AT2G24850, AT5G52660, AT4G11280, AT4G23600, AT5G02840, AT3G45140, AT4G34990, AT1G61120, AT1G71030, AT3G51450, AT4G32940, AT1G07640, AT5G37500, AT3G16770, AT2G46830, AT2G39030, AT5G59780, AT5G59090, AT3G15510, AT2G34810, AT4G01060, AT1G18570, AT5G08790, AT1G01060, AT3G50480, AT1G21910, AT4G34710, AT1G06160, AT2G46370, AT4G20860, AT1G72450, AT4G37260, AT1G18710, AT5G42650, AT4G22880",2256,156,18499,3.6794474,1.69E-20,5.63E-21,1.93E-20
GOTERM_BP_DIRECT,GO:0080167~response to karrikin,56,1.833660773,1.88E-18,"AT5G17050, AT3G43800, AT3G22840, AT1G74670, AT5G64410, AT3G61220, AT5G66920, AT1G22770, AT1G31350, AT5G13750, AT5G05600, AT5G06980, AT1G78290, AT5G20250, AT5G53660, AT3G52740, AT3G19450, AT1G33590, AT1G30530, AT5G51550, AT3G47600, AT5G42900, AT1G61800, AT5G08640, AT4G33150, AT2G23910, AT4G33980, AT4G37370, AT1G23010, AT1G10960, AT2G37040, AT5G62210, AT5G48540, AT4G37470, AT2G40080, AT4G24110, AT3G44450, AT1G53070, AT5G63810, AT4G27030, AT2G16365, AT1G70420, AT4G27280, AT4G34710, AT1G61890, AT5G25460, AT3G21560, AT1G07440, AT1G25275, AT5G05270, AT2G47930, AT1G66390, AT1G05680, AT3G55120, AT1G10370, AT3G17609",2256,128,18499,3.587461215,2.72E-15,4.53E-16,3.11E-15
GOTERM_BP_DIRECT,GO:0009651~response to salt stress,130,4.256712508,9.72E-19,"AT1G52400, AT1G66280, AT3G09600, AT5G62530, AT1G45249, AT5G26340, AT1G02920, AT4G39260, AT1G43160, AT1G66200, AT4G05100, AT2G47460, AT3G50500, AT2G33380, AT3G19490, AT3G57530, AT5G23860, AT3G05030, AT4G37530, AT5G14640, AT4G39090, AT1G62480, AT1G06180, AT3G19290, AT5G37260, AT3G47600, AT4G19810, AT3G03640, AT3G48850, AT1G65930, AT5G44610, AT1G50460, AT2G19450, AT4G01070, AT1G51500, AT2G17840, AT3G22200, AT5G11150, AT1G17840, AT1G13930, AT3G61890, AT1G71030, AT4G02520, AT3G17510, AT2G36270, AT2G39800, AT1G55450, AT3G63060, AT4G01060, AT1G18570, AT1G01060, AT1G01520, AT5G20270, AT5G59310, AT4G40010, AT3G20250, AT1G16850, AT4G21440, AT1G53580, AT1G10370, AT1G62380, AT1G47510, AT4G04330, AT5G63320, AT1G50960, AT1G28380, AT3G49580, AT2G37770, AT5G62470, AT5G52310, AT2G38750, AT4G11890, AT5G67480, AT3G09940, AT1G48000, AT2G04240, AT3G44550, AT1G18330, AT3G48360, AT1G54100, AT2G47190, AT2G20880, AT2G37630, AT5G13330, AT5G07440, AT3G51920, AT1G08920, AT4G12720, AT5G54810, AT2G37760, AT3G16470, AT4G23670, AT5G28510, AT5G27150, AT1G56650, AT2G38760, AT1G27760, AT5G18170, AT1G22640, AT1G35720, AT5G52660, AT2G47180, AT1G08930, AT5G02840, AT1G56600, AT1G14210, AT5G62520, AT1G03230, AT4G34990, AT2G21660, AT4G11600, AT5G63650, AT5G50950, AT2G38470, AT2G47770, AT5G24030, AT5G58670, AT2G46830, AT2G01570, AT5G46830, AT4G34000, AT1G02930, AT4G34710, AT3G54770, AT2G42540, AT4G12480, AT1G18710, AT5G52300, AT5G25610, AT2G41010",2256,484,18499,2.202455527,1.41E-15,2.82E-16,1.61E-15
GOTERM_BP_DIRECT,GO:0009409~response to cold,89,2.914210871,7.94E-16,"AT1G20450, AT3G17390, AT1G20620, AT2G28900, AT4G04330, AT5G15960, AT5G63320, AT3G22840, AT2G39730, AT1G01120, AT1G22770, AT4G35090, AT2G37770, AT5G52310, AT4G25480, AT4G39260, AT2G38750, AT1G43160, AT3G53990, AT4G11890, AT2G45660, AT3G57260, AT2G33380, AT3G50970, AT4G02380, AT5G20250, AT5G20630, AT3G48360, AT4G38840, AT5G57560, AT5G15970, AT3G22370, AT1G07720, AT2G37760, AT4G34150, AT3G16470, AT2G38760, AT4G25490, AT3G25770, AT5G42900, AT3G12490, AT4G02330, AT1G35720, AT1G46768, AT5G44610, AT1G50460, AT5G37770, AT1G68530, AT5G20830, AT2G47180, AT2G19450, AT4G35790, AT1G55920, AT2G42530, AT1G56600, AT2G17840, AT4G17090, AT1G76180, AT3G45640, AT2G21660, AT4G04020, AT4G02520, AT4G26080, AT3G11410, AT2G38470, AT4G24960, AT5G58670, AT2G25930, AT4G37610, AT5G37500, AT2G46830, AT2G40140, AT5G51820, AT3G16690, AT5G47230, AT1G20440, AT1G01060, AT5G50720, AT1G74520, AT4G34710, AT1G22190, AT2G42540, AT1G80820, AT5G06760, AT4G12480, AT5G52300, AT4G20260, AT3G05880, AT1G09350",2256,299,18499,2.440776287,1.13E-12,1.61E-13,1.29E-12
GOTERM_BP_DIRECT,GO:0009873~ethylene-activated signaling pathway,51,1.669941061,9.61E-09,"AT4G39780, AT4G17500, AT5G51190, AT5G25350, AT5G25190, AT5G64750, AT1G77640, AT5G67180, AT3G23150, AT1G43160, AT2G23340, AT5G52020, AT2G20880, AT5G13330, AT5G07580, AT2G28550, AT2G44940, AT1G13260, AT5G25390, AT5G67190, AT1G77200, AT1G79700, AT2G39250, AT1G46768, AT4G19040, AT5G47220, AT1G68840, AT1G04370, AT5G60120, AT5G61600, AT5G61590, AT1G72360, AT4G28140, AT3G16770, AT1G25560, AT4G34410, AT1G01250, AT3G15356, AT5G47230, AT2G47520, AT5G11590, AT1G21910, AT1G44830, AT1G22190, AT1G06160, AT2G27050, AT1G36060, AT3G23230, AT1G28370, AT4G17490, AT4G16750",2256,179,18499,2.336287591,1.39E-05,8.19E-07,1.59E-05
GOTERM_BP_DIRECT,GO:0010200~response to chitin,48,1.571709234,3.82E-12,"AT3G50060, AT1G75490, AT4G17500, AT5G51190, AT3G52450, AT1G66160, AT1G08930, AT5G47220, AT3G16530, AT4G29110, AT4G31800, AT4G23810, AT5G04340, AT3G46090, AT3G05200, AT2G21210, AT1G19050, AT2G34600, AT4G17245, AT3G45640, AT2G38470, AT1G23030, AT3G46600, AT2G23320, AT4G28140, AT3G55980, AT4G37610, AT2G04240, AT4G34410, AT2G40140, AT4G26400, AT5G59780, AT2G36270, AT1G80840, AT3G16720, AT5G47230, AT2G35930, AT4G01250, AT4G37260, AT3G23230, AT1G74410, AT3G19380, AT5G22890, AT4G35480, AT4G28110, AT3G49530, AT4G17490, AT4G33050",2256,133,18499,2.959366501,5.53E-09,5.03E-10,6.32E-09
GOTERM_BP_DIRECT,GO:0010411~xyloglucan metabolic process,22,0.720366732,2.43E-09,"AT4G37800, AT5G57540, AT2G36870, AT2G01850, AT4G30280, AT4G28850, AT5G57560, AT2G06850, AT3G23730, AT4G03210, AT3G62720, AT1G11545, AT4G30270, AT5G57530, AT5G48070, AT4G25820, AT4G25810, AT5G65730, AT4G14130, AT1G32170, AT1G65310, AT4G30290",2256,42,18499,4.295191658,3.52E-06,2.35E-07,4.02E-06
