Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0009414~response to water deprivation,122,3.398328691,9.41E-33,"AT1G20450, AT2G37170, AT1G52400, AT3G23920, AT4G30960, AT5G15960, AT3G52450, AT4G02280, AT1G52890, AT1G45249, AT4G02200, AT5G26340, AT3G16857, AT4G25480, AT1G43160, AT5G45340, AT4G15910, AT3G50500, AT3G50970, AT5G49230, AT3G29320, AT4G24275, AT3G11020, AT2G38530, AT3G50980, AT5G15970, AT5G40390, AT4G39090, AT3G61430, AT2G33590, AT3G30775, AT3G19290, AT3G26830, AT4G08920, AT5G20830, AT2G17840, AT1G76080, AT3G45140, AT3G61890, AT3G47860, AT5G47120, AT3G11410, AT5G37500, AT2G36270, AT2G39800, AT4G38410, AT1G20440, AT5G66400, AT3G63060, AT4G33950, AT5G50720, AT1G74520, AT1G47128, AT1G73330, AT5G59310, AT2G46680, AT5G65730, AT5G59320, AT1G08810, AT5G59220, AT4G04330, AT3G05640, AT5G10230, AT5G11270, AT4G00430, AT5G06530, AT5G13750, AT2G37770, AT5G62470, AT5G52310, AT1G33240, AT2G38750, AT4G11890, AT3G23050, AT4G38680, AT4G02380, AT3G09940, AT2G47190, AT2G21490, AT2G35930, AT5G13330, AT2G47800, AT3G51920, AT1G08920, AT2G37760, AT5G57050, AT3G19580, AT2G35300, AT1G13740, AT2G38760, AT3G12490, AT5G05410, AT1G35720, AT1G46768, AT1G08930, AT1G56600, AT2G26650, AT2G21660, AT5G61590, AT4G27410, AT2G38470, AT5G24030, AT4G24960, AT5G58670, AT3G02480, AT3G46970, AT1G69270, AT2G18050, AT4G34000, AT1G02205, AT1G02930, AT1G69700, AT3G54770, AT2G42540, AT4G23450, AT5G06760, AT5G52300, AT3G14440, AT1G12110, AT2G05620, AT1G54160, AT2G41010",2634,279,18499,3.07105864,1.48E-29,7.40E-30,1.57E-29
GOTERM_BP_DIRECT,GO:0009737~response to abscisic acid,157,4.373259053,3.56E-36,"AT1G20450, AT2G37170, AT1G52400, AT5G15960, AT2G05520, AT3G09600, AT2G46270, AT1G45249, AT5G26340, AT1G18100, AT1G43160, AT4G15910, AT4G05100, AT3G50500, AT3G50970, AT2G33380, AT3G57530, AT5G15970, AT3G50980, AT3G02880, AT5G40390, AT2G33590, AT3G47600, AT5G37260, AT3G19290, AT3G30210, AT4G19810, AT3G22060, AT1G58340, AT5G44610, AT2G15970, AT3G01420, AT3G26830, AT5G37770, AT4G23600, AT2G19450, AT5G62490, AT1G51500, AT2G17840, AT3G11820, AT1G14920, AT3G51810, AT1G17840, AT3G05890, AT1G65690, AT3G61890, AT1G71030, AT4G26080, AT3G11410, AT3G47860, AT1G20630, AT3G17510, AT3G53180, AT5G37500, AT4G31910, AT2G36270, AT2G39800, AT4G38410, AT1G20440, AT1G73980, AT5G66400, AT3G63060, AT1G18570, AT4G01060, AT1G01060, AT4G33950, AT5G50720, AT1G74520, AT1G73330, AT5G59310, AT2G46680, AT2G40170, AT1G59870, AT3G05880, AT2G35940, AT4G21440, AT1G14170, AT4G28110, AT1G73687, AT5G59320, AT1G08810, AT5G59220, AT1G47510, AT3G46590, AT4G35100, AT5G11270, AT5G63320, AT3G58490, AT5G64750, AT5G45820, AT5G52310, AT5G62470, AT2G38750, AT4G11890, AT4G38680, AT4G02380, AT1G12420, AT2G26980, AT1G48000, AT3G48360, AT1G54100, AT2G47190, AT5G27420, AT2G21490, AT5G13330, AT5G39610, AT1G75750, AT5G54270, AT3G51920, AT1G29395, AT1G55020, AT1G08920, AT5G16600, AT5G57050, AT3G19580, AT1G13740, AT4G38970, AT1G22640, AT1G49720, AT1G35720, AT1G68670, AT5G52660, AT5G60660, AT5G02840, AT1G08930, AT1G56600, AT2G42530, AT1G76180, AT4G34990, AT1G75240, AT4G21410, AT4G04020, AT5G24240, AT4G27410, AT2G47770, AT4G24960, AT5G58670, AT2G25930, AT2G46830, AT1G44170, AT1G69270, AT2G01570, AT3G55610, AT2G38940, AT4G34000, AT5G02240, AT1G69700, AT4G34710, AT3G54770, AT2G42540, AT4G23450, AT5G53160, AT4G12480, AT4G37260, AT5G52300, AT5G25610, AT2G40340",2634,394,18499,2.798568312,5.60E-33,5.60E-33,5.95E-33
GOTERM_BP_DIRECT,GO:0009611~response to wounding,81,2.256267409,1.17E-19,"AT5G47240, AT2G28900, AT1G74020, AT5G47910, AT1G72300, AT1G72920, AT3G19710, AT4G35770, AT4G39980, AT2G32800, AT5G13220, AT1G20510, AT2G34600, AT5G52310, AT1G43160, AT1G76650, AT3G23050, AT5G67480, AT4G10270, AT4G02380, AT4G16740, AT2G22330, AT3G48360, AT3G44550, AT1G80840, AT5G53750, AT4G12030, AT2G47800, AT1G55020, AT4G15440, AT3G16470, AT5G24770, AT3G29035, AT1G52030, AT5G12140, AT1G22640, AT5G13930, AT2G24850, AT1G01470, AT2G02990, AT1G51400, AT3G43440, AT1G32920, AT4G11280, AT4G23600, AT1G79380, AT2G20340, AT1G01140, AT4G24220, AT3G45140, AT1G17840, AT4G02260, AT1G61120, AT3G45640, AT1G04220, AT1G01720, AT5G04230, AT3G24550, AT3G22275, AT5G20900, AT1G72520, AT4G32940, AT5G10300, AT4G16760, AT1G07640, AT3G44260, AT5G20230, AT3G15356, AT2G34810, AT1G74930, AT5G08790, AT1G19640, AT4G34710, AT2G27690, AT1G65060, AT1G72450, AT4G10265, AT4G21440, AT1G30135, AT1G76680, AT4G22880",2634,199,18499,2.858672634,1.84E-16,4.61E-17,1.96E-16
GOTERM_BP_DIRECT,GO:0009753~response to jasmonic acid,69,1.922005571,3.70E-19,"AT1G15520, AT1G08810, AT1G54040, AT2G28900, AT1G47510, AT1G74020, AT3G09600, AT3G46590, AT4G35770, AT2G39730, AT5G13220, AT5G24780, AT2G34600, AT1G43160, AT5G60890, AT3G23050, AT4G05100, AT5G67480, AT4G16740, AT3G09940, AT3G48360, AT2G37630, AT4G12030, AT5G07010, AT5G13330, AT1G55020, AT1G19570, AT3G28910, AT3G16470, AT5G24770, AT1G56650, AT4G09460, AT1G06180, AT5G37260, AT3G47600, AT4G19810, AT5G13930, AT2G24850, AT5G52660, AT4G11280, AT4G23600, AT5G02840, AT3G45140, AT4G34990, AT1G61120, AT1G71030, AT4G32940, AT1G07640, AT5G37500, AT3G16770, AT2G46830, AT2G39030, AT5G59780, AT5G59090, AT3G15510, AT2G34810, AT4G01060, AT1G18570, AT5G08790, AT1G01060, AT3G50480, AT1G21910, AT4G34710, AT1G06160, AT4G20860, AT1G72450, AT4G37260, AT1G18710, AT4G22880",2634,156,18499,3.106397115,5.81E-16,1.16E-16,6.18E-16
GOTERM_BP_DIRECT,GO:0080167~response to karrikin,55,1.532033426,1.08E-14,"AT3G47470, AT5G17050, AT3G57520, AT3G43800, AT3G22840, AT1G74670, AT5G64410, AT1G80460, AT5G66920, AT1G22770, AT5G13750, AT5G06980, AT1G78290, AT5G20250, AT5G53660, AT3G52740, AT3G19450, AT1G33590, AT5G08050, AT5G51550, AT3G47600, AT5G42900, AT1G61800, AT5G08640, AT4G33150, AT2G23910, AT4G33980, AT1G23010, AT1G10960, AT1G50900, AT5G62210, AT5G48540, AT4G37470, AT2G40080, AT4G24110, AT1G53070, AT5G63810, AT4G27030, AT2G16365, AT1G70420, AT4G27280, AT4G34710, AT1G61890, AT5G25460, AT3G21560, AT1G07440, AT1G25275, AT5G05270, AT2G47930, AT5G02270, AT1G66390, AT1G05680, AT3G55120, AT1G10370, AT3G17609",2634,128,18499,3.017763501,1.69E-11,2.12E-12,1.80E-11
GOTERM_BP_DIRECT,GO:0009651~response to salt stress,152,4.233983287,2.20E-22,"AT1G52400, AT4G30960, AT1G66280, AT3G09600, AT5G62530, AT1G45249, AT5G26340, AT1G02920, AT1G43160, AT1G66200, AT4G05100, AT2G47460, AT3G50500, AT2G33380, AT3G19490, AT1G04120, AT3G57530, AT1G73660, AT5G23860, AT3G05030, AT4G37530, AT5G14640, AT4G39090, AT1G62480, AT1G06180, AT3G47600, AT3G19290, AT5G37260, AT4G19810, AT2G15390, AT3G03640, AT3G48850, AT1G65930, AT5G44610, AT1G50460, AT2G19450, AT4G01070, AT2G16500, AT1G51500, AT2G17840, AT2G44490, AT1G14920, AT3G22200, AT5G11150, AT1G17840, AT1G13930, AT3G05890, AT3G61890, AT1G59860, AT1G71030, AT4G02520, AT3G17510, AT3G25780, AT2G36270, AT2G39800, AT1G55450, AT3G63060, AT1G18570, AT4G01060, AT1G01060, AT4G33950, AT5G20270, AT5G59310, AT4G40010, AT3G20250, AT1G16850, AT4G21440, AT2G17270, AT1G53580, AT1G10370, AT1G15100, AT1G62380, AT5G14200, AT1G47510, AT4G04330, AT5G10230, AT5G63320, AT1G50960, AT1G28380, AT5G52310, AT2G37770, AT5G62470, AT2G38750, AT4G11890, AT5G67480, AT2G16720, AT3G09940, AT1G48000, AT2G04240, AT3G44550, AT1G18330, AT3G48360, AT5G38940, AT1G54100, AT1G16540, AT2G47190, AT2G20880, AT2G37630, AT5G13330, AT5G39610, AT5G07440, AT3G51920, AT1G08920, AT4G12720, AT2G37760, AT3G16470, AT4G23670, AT5G28510, AT5G27150, AT1G56650, AT2G38760, AT1G27760, AT5G18170, AT1G22640, AT1G35720, AT2G16005, AT5G52660, AT1G08930, AT5G02840, AT1G56600, AT1G01140, AT1G17880, AT1G14210, AT1G03230, AT4G34990, AT2G26650, AT2G21660, AT4G11600, AT5G50950, AT2G38470, AT2G47770, AT5G24030, AT5G58670, AT1G44170, AT1G69270, AT2G46830, AT3G23940, AT5G02020, AT2G01570, AT5G46830, AT2G03760, AT4G34000, AT1G02930, AT4G34710, AT3G54770, AT2G42540, AT5G10860, AT4G12480, AT1G18710, AT5G52300, AT5G25610, AT2G41010",2634,484,18499,2.205620086,3.45E-19,1.15E-19,3.67E-19
GOTERM_BP_DIRECT,GO:0009409~response to cold,94,2.618384401,4.61E-14,"AT3G47470, AT1G20450, AT3G17390, AT1G20620, AT2G27710, AT2G28900, AT4G04330, AT5G15960, AT5G10230, AT5G63320, AT3G22840, AT2G39730, AT2G36400, AT1G22770, AT4G35090, AT2G37770, AT5G52310, AT4G25480, AT2G38750, AT1G43160, AT3G53990, AT4G11890, AT2G45660, AT4G38680, AT2G33380, AT3G50970, AT4G02380, AT5G20250, AT5G20630, AT3G48360, AT1G16540, AT4G38840, AT5G57560, AT5G15970, AT3G22370, AT1G07720, AT2G37760, AT4G09650, AT4G34150, AT3G16470, AT2G38760, AT3G25770, AT5G42900, AT3G12490, AT4G02330, AT1G35720, AT1G46768, AT5G44610, AT1G50460, AT5G37770, AT5G20830, AT1G68530, AT4G35790, AT2G19450, AT1G55920, AT2G42530, AT2G16500, AT1G56600, AT2G17840, AT4G17090, AT1G01140, AT1G76180, AT3G05890, AT3G45640, AT2G21660, AT4G04020, AT4G02520, AT4G26080, AT3G11410, AT2G38470, AT4G24960, AT5G58670, AT2G35040, AT2G25930, AT4G37610, AT5G37500, AT1G69270, AT2G46830, AT2G40140, AT5G51820, AT3G16690, AT5G47230, AT1G20440, AT1G01060, AT5G50720, AT1G74520, AT4G34710, AT2G42540, AT1G80820, AT5G06760, AT4G12480, AT5G52300, AT3G05880, AT1G09350",2634,299,18499,2.207949556,7.24E-11,8.05E-12,7.70E-11
GOTERM_BP_DIRECT,GO:0009873~ethylene-activated signaling pathway,47,1.309192201,3.50E-05,"AT4G39780, AT4G17500, AT5G51190, AT5G25350, AT4G19040, AT5G47220, AT5G25190, AT1G68840, AT4G13040, AT2G36400, AT5G64750, AT5G60120, AT1G77640, AT3G23150, AT5G61600, AT1G43160, AT2G23340, AT5G61590, AT1G22985, AT1G72360, AT4G28140, AT3G16770, AT2G44840, AT4G34410, AT5G52020, AT1G01250, AT2G20880, AT3G15356, AT2G47520, AT5G47230, AT1G74930, AT5G13330, AT5G07580, AT1G21910, AT1G44830, AT1G64380, AT1G06160, AT1G13260, AT5G25390, AT3G23230, AT5G67190, AT1G28370, AT4G17490, AT1G79700, AT4G16750, AT2G39250, AT1G46768",2634,179,18499,1.844069601,0.053548661,0.001617388,0.058483127
GOTERM_BP_DIRECT,GO:0010200~response to chitin,59,1.643454039,1.42E-16,"AT1G75490, AT3G21150, AT4G17500, AT5G51190, AT3G52450, AT4G29110, AT4G23810, AT3G46090, AT2G21210, AT1G19050, AT2G34600, AT1G23030, AT2G04240, AT2G44840, AT4G26400, AT1G80840, AT5G27420, AT3G16720, AT1G20823, AT2G35930, AT4G01250, AT1G64380, AT5G38895, AT3G18710, AT3G19580, AT3G46080, AT4G35480, AT2G37430, AT3G50060, AT1G66160, AT1G08930, AT5G47220, AT3G16530, AT4G31800, AT5G04340, AT4G17245, AT5G59450, AT3G45640, AT4G15975, AT2G38470, AT3G46600, AT2G23320, AT4G28140, AT3G55980, AT4G37610, AT4G34410, AT2G40140, AT2G36270, AT5G59780, AT5G47230, AT3G23230, AT1G74410, AT4G37260, AT3G19380, AT5G22890, AT4G23550, AT4G28110, AT4G17490, AT4G33050",2634,133,18499,3.115536564,1.75E-13,2.91E-14,1.89E-13
GOTERM_BP_DIRECT,GO:0010411~xyloglucan metabolic process,23,0.640668524,6.21E-09,"AT4G37800, AT5G57540, AT2G01850, AT4G30280, AT4G28850, AT5G57560, AT2G06850, AT3G23730, AT4G03210, AT3G44990, AT3G62720, AT1G11545, AT1G10550, AT4G30270, AT5G57530, AT5G48070, AT4G25820, AT4G25810, AT5G65730, AT4G14130, AT1G32170, AT1G65310, AT4G30290",2634,42,18499,3.846015475,9.75E-06,6.97E-07,1.04E-05
GOTERM_BP_DIRECT,GO:0009738~abscisic acid-activated signaling pathway,56,1.559888579,2.71E-07,"AT1G52400, AT1G72770, AT5G11270, AT5G63320, AT2G26040, AT5G64750, AT1G45249, AT1G18100, AT1G42550, AT5G05440, AT3G50500, AT2G38310, AT5G52900, AT3G29320, AT1G12240, AT2G26980, AT3G48360, AT1G08650, AT3G57530, AT5G37740, AT5G57050, AT5G04870, AT3G19580, AT3G19290, AT5G63470, AT1G12580, AT1G49720, AT1G69260, AT1G62660, AT1G54830, AT1G75240, AT3G45640, AT4G26080, AT5G46845, AT3G11410, AT5G46790, AT5G58670, AT2G40330, AT1G69270, AT5G66210, AT2G36270, AT1G70800, AT4G34000, AT3G63060, AT4G33950, AT5G51990, AT5G53160, AT2G46680, AT4G17870, AT5G52300, AT2G40340, AT1G17550, AT4G01026, AT1G54160, AT1G62810, AT1G15100",2634,195,18499,2.016907112,4.26E-04,2.03E-05,4.53E-04
GOTERM_BP_DIRECT,GO:0009733~response to auxin,84,2.339832869,1.25E-10,"AT4G03190, AT1G28130, AT3G03850, AT1G47510, AT3G04730, AT3G09600, AT5G13320, AT3G59900, AT1G29460, AT5G63160, AT5G13220, AT2G21210, AT3G11260, AT5G54510, AT4G16780, AT5G18060, AT5G14960, AT3G23050, AT5G67480, AT2G22240, AT2G47460, AT3G48360, AT2G38120, AT2G17500, AT2G37630, AT4G38840, AT5G57560, AT4G12550, AT5G39610, AT4G12410, AT1G72430, AT5G13370, AT1G29450, AT1G29440, AT5G01990, AT3G28910, AT1G56650, AT5G37260, AT3G47600, AT3G28860, AT4G36740, AT5G08640, AT5G13930, AT3G01220, AT4G34760, AT5G18030, AT5G37770, AT2G06850, AT4G11280, AT5G02840, AT2G04160, AT3G12955, AT3G15540, AT4G32280, AT4G38860, AT4G27260, AT5G18080, AT4G31320, AT3G23030, AT2G25930, AT2G01200, AT4G37610, AT1G29510, AT2G46830, AT1G51950, AT4G31910, AT5G18020, AT5G50760, AT3G03820, AT1G29430, AT3G05630, AT1G18570, AT1G01060, AT1G04550, AT4G34800, AT5G07990, AT4G18710, AT5G54490, AT5G25890, AT5G43700, AT3G55120, AT1G29500, AT4G38850, AT5G18050",2634,290,18499,2.034294242,1.96E-07,1.64E-08,2.09E-07
GOTERM_BP_DIRECT,GO:0009624~response to nematode,27,0.752089136,5.38E-06,"AT4G32650, AT4G39030, AT1G69850, AT5G53550, AT2G39350, AT5G38030, AT2G36400, AT3G11900, AT5G17520, AT3G51870, AT5G13580, AT2G18150, AT3G14310, AT2G21050, AT1G72140, AT2G38120, AT1G71880, AT2G47800, AT5G52450, AT1G59740, AT1G64780, AT1G58360, AT4G18210, AT3G51860, AT5G57110, AT1G61800, AT1G58340",2634,74,18499,2.562503848,0.008421026,3.25E-04,0.00898863
GOTERM_BP_DIRECT,GO:0006979~response to oxidative stress,95,2.646239554,2.43E-15,"AT5G64100, AT1G20620, AT4G21850, AT3G57520, AT4G12000, AT3G20340, AT5G17820, AT5G05340, AT5G06730, AT4G37520, AT5G50350, AT4G35770, AT1G78410, AT1G49670, AT4G32770, AT2G47060, AT4G36430, AT3G46090, AT4G35090, AT2G04795, AT3G53990, AT4G17070, AT3G09640, AT2G18150, AT4G02380, AT5G59080, AT5G20250, AT1G80130, AT4G39640, AT2G37130, AT5G16990, AT5G39610, AT5G39580, AT4G37530, AT1G68850, AT4G12720, AT5G40390, AT3G32980, AT5G24770, AT1G30870, AT3G30775, AT1G52200, AT3G12490, AT5G13930, AT1G35720, AT1G19020, AT5G42180, AT3G01420, AT4G30170, AT4G11280, AT2G19810, AT2G16500, AT1G56600, AT4G08770, AT3G22200, AT5G56550, AT5G64120, AT1G34510, AT1G76080, AT5G19875, AT3G45640, AT3G49120, AT1G14870, AT4G11600, AT3G47860, AT4G21830, AT1G20630, AT4G04830, AT5G44380, AT4G33420, AT3G01190, AT2G40000, AT5G18040, AT5G20230, AT3G49960, AT3G28200, AT4G11290, AT2G39800, AT1G73680, AT3G03190, AT1G02930, AT3G28340, AT2G18980, AT4G34710, AT4G23190, AT5G64110, AT5G67400, AT1G60470, AT1G13440, AT1G73120, AT4G26010, AT4G04840, AT1G09350, AT1G11210, AT2G29450",2634,291,18499,2.292783766,3.84E-12,5.49E-13,4.09E-12
GOTERM_BP_DIRECT,GO:0007623~circadian rhythm,40,1.114206128,2.96E-10,"AT3G54810, AT3G06500, AT5G24470, AT4G08920, AT3G58850, AT5G17300, AT5G02840, AT2G17840, AT3G57040, AT3G12320, AT1G22770, AT1G68050, AT3G46640, AT4G15248, AT5G52310, AT2G21660, AT2G18170, AT3G55960, AT2G25930, AT5G59570, AT2G46830, AT3G48360, AT1G18330, AT3G52180, AT4G36240, AT1G01060, AT5G61380, AT5G56860, AT2G42540, AT1G80820, AT5G02120, AT1G10470, AT3G07650, AT5G60100, AT3G20810, AT3G01060, AT5G37260, AT4G26150, AT5G12050, AT3G06080",2634,97,18499,2.896147915,4.65E-07,3.58E-08,4.95E-07
GOTERM_BP_DIRECT,GO:0042546~cell wall biogenesis,28,0.77994429,8.80E-09,"AT2G01850, AT2G06850, AT3G44990, AT1G10550, AT5G57530, AT4G25820, AT4G30270, AT4G14130, AT4G30290, AT4G37800, AT5G57540, AT5G44670, AT4G30280, AT4G28850, AT1G64440, AT5G57560, AT3G23730, AT4G03210, AT4G20170, AT1G11545, AT5G48070, AT4G25810, AT3G15060, AT5G65730, AT4G23920, AT1G65310, AT1G32170, AT1G56550",2634,60,18499,3.277474057,1.38E-05,9.22E-07,1.47E-05
GOTERM_BP_DIRECT,GO:0006970~response to osmotic stress,42,1.169916435,5.04E-08,"AT1G50460, AT5G15960, AT5G20830, AT5G64750, AT5G52310, AT3G61890, AT1G65690, AT1G59860, AT1G04220, AT2G38750, AT1G43160, AT2G21660, AT3G45640, AT1G42550, AT2G23030, AT3G58620, AT2G47770, AT2G38470, AT3G50500, AT3G17510, AT1G78290, AT2G04240, AT1G16540, AT3G16690, AT5G15970, AT1G20440, AT3G63060, AT4G33950, AT2G42580, AT4G34710, AT2G42540, AT5G06760, AT4G39090, AT5G57050, AT2G35300, AT3G20250, AT4G40010, AT1G58200, AT3G14440, AT4G21440, AT1G35720, AT1G58340",2634,122,18499,2.417808731,7.92E-05,4.40E-06,8.42E-05
